DataTypeId;FrequencyId;PresentationTypeId;Date;Value
1;3;3;01.11.2001;103.6
1;3;3;01.12.2001;103.6
1;3;3;01.01.2000;110.1
1;3;3;01.02.2000;110.4
1;3;3;01.03.2000;110.3
1;3;3;01.04.2000;109.8
1;3;3;01.05.2000;110
1;3;3;01.06.2000;110.2
1;3;3;01.07.2000;111.6
1;3;3;01.08.2000;110.7
1;3;3;01.09.2000;110.3
1;3;3;01.10.2000;109.9
1;3;3;01.11.2000;109.3
1;3;3;01.12.2000;108.5
1;3;3;01.01.1999;106.9
1;3;3;01.02.1999;105.6
1;3;3;01.03.1999;106.2
1;3;3;01.04.1999;106.3
1;3;3;01.05.1999;106.4
1;3;3;01.06.1999;106.5
1;3;3;01.07.1999;106.3
1;3;3;01.08.1999;107.2
1;3;3;01.09.1999;108
1;3;3;01.10.1999;108.7
1;3;3;01.11.1999;109.2
1;3;3;01.12.1999;109.8
1;3;3;01.01.1998;113.6
1;3;3;01.02.1998;114.2
1;3;3;01.03.1998;113.9
1;3;3;01.04.1998;113.7
1;3;3;01.05.1998;113.3
1;3;3;01.06.1998;112.2
1;3;3;01.07.1998;111.9
1;3;3;01.08.1998;111.3
1;3;3;01.09.1998;110.6
1;3;3;01.10.1998;109.9
1;3;3;01.11.1998;109.2
1;3;3;01.12.1998;108.6
1;3;3;01.01.1997;117.8
1;3;3;01.02.1997;117.3
1;3;3;01.03.1997;116.6
1;3;3;01.04.1997;115.3
1;3;3;01.05.1997;114.6
1;3;3;01.06.1997;115.3
1;3;3;01.07.1997;114.9
1;3;3;01.08.1997;114.5
1;3;3;01.09.1997;113.6
1;3;3;01.10.1997;113.1
1;3;3;01.11.1997;113.2
1;3;3;01.12.1997;113.2
1;3;3;01.01.1996;121
1;3;3;01.02.1996;120.4
1;3;3;01.03.1996;120.4
1;3;3;01.04.1996;120.3
1;3;3;01.05.1996;119.8
1;3;3;01.06.1996;119.5
1;3;3;01.07.1996;120.4
1;3;3;01.08.1996;120.5
1;3;3;01.09.1996;119.5
1;3;3;01.10.1996;119.5
1;3;3;01.11.1996;119.1
1;3;3;01.12.1996;118.5
1;3;3;01.01.1995;132.3
1;3;3;01.02.1995;133.6
1;3;3;01.03.1995;133.1
1;3;3;01.04.1995;132.4
1;3;3;01.05.1995;132.3
1;3;3;01.06.1995;130.3
1;3;3;01.07.1995;127.6
1;3;3;01.08.1995;125.7
1;3;3;01.09.1995;124.2
1;3;3;01.10.1995;122.4
1;3;3;01.11.1995;122
1;3;3;01.12.1995;121.6
1;3;3;01.01.1994;132.4
1;3;3;01.02.1994;129.9
1;3;3;01.03.1994;130.2
1;3;3;01.04.1994;131.2
1;3;3;01.05.1994;131.2
1;3;3;01.06.1994;132.7
1;3;3;01.07.1994;132.8
1;3;3;01.08.1994;132.2
1;3;3;01.09.1994;134.6
1;3;3;01.10.1994;136.1
1;3;3;01.11.1994;133.5
1;3;3;01.12.1994;129.5
1;3;3;01.01.1993;137.5
1;3;3;01.02.1993;139.7
1;3;3;01.03.1993;139.7
1;3;3;01.04.1993;138.1
1;3;3;01.05.1993;135.8
1;3;3;01.06.1993;134.3
1;3;3;01.07.1993;134.8
1;3;3;01.08.1993;134.4
1;3;3;01.09.1993;131
1;3;3;01.10.1993;129.8
1;3;3;01.11.1993;133
1;3;3;01.12.1993;137.6
1;3;3;01.01.1992;145.4
1;3;3;01.02.1992;140.1
1;3;3;01.03.1992;138.1
1;3;3;01.04.1992;140.2
1;3;3;01.05.1992;143.2
1;3;3;01.06.1992;139
1;3;3;01.07.1992;141.3
1;3;3;01.08.1992;144.3
1;3;3;01.09.1992;146.5
1;3;3;01.10.1992;146.4
1;3;3;01.11.1992;145.4
1;3;3;01.12.1992;144.3
1;3;3;01.01.1991;194.9
1;3;3;01.02.1991;180
1;3;3;01.03.1991;181.8
1;3;3;01.04.1991;171
1;3;3;01.05.1991;167.8
1;3;3;01.06.1991;172.4
1;3;3;01.07.1991;168.3
1;3;3;01.08.1991;167.6
1;3;3;01.09.1991;167.1
1;3;3;01.10.1991;164.8
1;3;3;01.11.1991;162.7
1;3;3;01.12.1991;160.4
